SUMLEV,REGION,DIVISION,STATE,NAME,CENSUS2000POP,ESTIMATESBASE2000,POPESTIMATE2000,POPESTIMATE2001,POPESTIMATE2002,POPESTIMATE2003,POPESTIMATE2004,POPESTIMATE2005,POPESTIMATE2006,POPESTIMATE2007,POPESTIMATE2008,POPESTIMATE2009,NPOPCHG_2000,NPOPCHG_2001,NPOPCHG_2002,NPOPCHG_2003,NPOPCHG_2004,NPOPCHG_2005,NPOPCHG_2006,NPOPCHG_2007,NPOPCHG_2008,NPOPCHG_2009,BIRTHS2000,BIRTHS2001,BIRTHS2002,BIRTHS2003,BIRTHS2004,BIRTHS2005,BIRTHS2006,BIRTHS2007,BIRTHS2008,BIRTHS2009,DEATHS2000,DEATHS2001,DEATHS2002,DEATHS2003,DEATHS2004,DEATHS2005,DEATHS2006,DEATHS2007,DEATHS2008,DEATHS2009,NATURALINC2000,NATURALINC2001,NATURALINC2002,NATURALINC2003,NATURALINC2004,NATURALINC2005,NATURALINC2006,NATURALINC2007,NATURALINC2008,NATURALINC2009,INTERNATIONALMIG2000,INTERNATIONALMIG2001,INTERNATIONALMIG2002,INTERNATIONALMIG2003,INTERNATIONALMIG2004,INTERNATIONALMIG2005,INTERNATIONALMIG2006,INTERNATIONALMIG2007,INTERNATIONALMIG2008,INTERNATIONALMIG2009,DOMESTICMIG2000,DOMESTICMIG2001,DOMESTICMIG2002,DOMESTICMIG2003,DOMESTICMIG2004,DOMESTICMIG2005,DOMESTICMIG2006,DOMESTICMIG2007,DOMESTICMIG2008,DOMESTICMIG2009,NETMIG2000,NETMIG2001,NETMIG2002,NETMIG2003,NETMIG2004,NETMIG2005,NETMIG2006,NETMIG2007,NETMIG2008,NETMIG2009,RESIDUAL2000,RESIDUAL2001,RESIDUAL2002,RESIDUAL2003,RESIDUAL2004,RESIDUAL2005,RESIDUAL2006,RESIDUAL2007,RESIDUAL2008,RESIDUAL2009,RBIRTH2001,RBIRTH2002,RBIRTH2003,RBIRTH2004,RBIRTH2005,RBIRTH2006,RBIRTH2007,RBIRTH2008,RBIRTH2009,RDEATH2001,RDEATH2002,RDEATH2003,RDEATH2004,RDEATH2005,RDEATH2006,RDEATH2007,RDEATH2008,RDEATH2009,RNATURALINC2001,RNATURALINC2002,RNATURALINC2003,RNATURALINC2004,RNATURALINC2005,RNATURALINC2006,RNATURALINC2007,RNATURALINC2008,RNATURALINC2009,RINTERNATIONALMIG2001,RINTERNATIONALMIG2002,RINTERNATIONALMIG2003,RINTERNATIONALMIG2004,RINTERNATIONALMIG2005,RINTERNATIONALMIG2006,RINTERNATIONALMIG2007,RINTERNATIONALMIG2008,RINTERNATIONALMIG2009,RDOMESTICMIG2001,RDOMESTICMIG2002,RDOMESTICMIG2003,RDOMESTICMIG2004,RDOMESTICMIG2005,RDOMESTICMIG2006,RDOMESTICMIG2007,RDOMESTICMIG2008,RDOMESTICMIG2009,RNETMIG2001,RNETMIG2002,RNETMIG2003,RNETMIG2004,RNETMIG2005,RNETMIG2006,RNETMIG2007,RNETMIG2008,RNETMIG2009
010,0,0,00,United States,281421906,281424602,282171957,285081556,287803914,290326418,293045739,295753151,298593212,301579895,304374846,307006550,747355,2909599,2722358,2522504,2719321,2707412,2840061,2986683,2794951,2631704,989020,4047314,4006985,4052799,4112637,4121160,4178113,4304907,4282972,4262897,560891,2419276,2429999,2422701,2449577,2433274,2417538,2425115,2438757,2486097,428129,1628038,1576986,1630098,1663060,1687886,1760575,1879792,1844215,1776800,319226,1200535,1078014,822079,985807,947844,1006408,866397,862955,854905,0,0,0,0,0,0,0,0,0,0,319226,1200535,1078014,822079,985807,947844,1006408,866397,862955,854905,0,81026,67358,70327,70454,71682,73078,240494,87781,-1,14.269859621,13.988782086,14.020364529,14.099531322,13.998531825,14.059522393,14.345551141,14.136276887,13.945131559,8.5297876331,8.4833675394,8.3811585931,8.3979907872,8.2652125924,8.1351149784,8.0813850928,8.0493041311,8.1327204794,5.7400719879,5.5054145465,5.639205936,5.7015405348,5.7333192323,5.9244074149,6.2641660483,6.0869727563,5.8124110796,4.2327988192,3.7634538017,2.8439227437,3.3796847798,3.2195848739,3.3866043864,2.8871570215,2.8482490246,2.7966340016,0,0,0,0,0,0,0,0,0,4.2327988192,3.7634538017,2.8439227437,3.3796847798,3.2195848739,3.3866043864,2.8871570215,2.8482490246,2.7966340016
020,1,0,00,Northeast,53594378,53594828,53667506,53930017,54167735,54364452,54514298,54598185,54710026,54879379,55060196,55283679,72678,262511,237718,196717,149846,83887,111841,169353,180817,223483,170964,685825,676237,682733,685994,671481,669198,681410,674952,670707,112812,486089,486508,481716,482072,476820,461859,464354,465353,474104,58152,199736,189729,201017,203922,194661,207339,217056,209599,196603,65634,250713,231224,194340,184947,187902,198025,176253,173493,172911,-51498,-225068,-228780,-257149,-329647,-396922,-375724,-312522,-216854,-145418,14136,25645,2444,-62809,-144700,-209020,-177699,-136269,-43361,27493,390,37130,45545,58509,90624,98246,82201,88566,14579,-613,12.747970044,12.511583035,12.581207822,12.601063109,12.30805095,12.244240279,12.435691206,12.278599403,12.156669321,9.0353195212,9.0012602667,8.8769242253,8.8552082018,8.7399715759,8.450581997,8.4744323596,8.465613952,8.5932091836,3.7126505226,3.5103227679,3.7042835965,3.7458549074,3.5680793736,3.7936582825,3.9612588461,3.8129854513,3.5634601377,4.6602002167,4.2780538119,3.5812417564,3.3973020447,3.4441888743,3.6232410756,3.2166065689,3.1561519134,3.1340389306,-4.183516381,-4.23283548,-4.738667986,-6.055304639,-7.275464531,-6.874579623,-5.703507561,-3.944967042,-2.635724004,0.4766838359,0.0452183316,-1.15742623,-2.658002595,-3.831275657,-3.251338548,-2.486900992,-0.788815129,0.4983149269
020,2,0,00,Midwest,64392776,64395190,64493956,64815413,65074729,65319024,65587713,65806421,66082058,66359247,66595597,66836911,98766,321457,259316,244295,268689,218708,275637,277189,236350,241314,223462,895236,876292,881636,896294,886312,893177,909523,903876,903025,133722,579284,578653,575558,577207,575718,564799,571539,569156,573878,89740,315952,297639,306078,319087,310594,328378,337984,334720,329147,41551,161468,145655,115494,123343,120494,125073,109870,107709,107781,-32746,-170442,-192363,-172883,-174995,-214626,-183472,-192309,-223736,-194619,8805,-8974,-46708,-57389,-51652,-94132,-58399,-82439,-116027,-86838,221,14479,8385,-4394,1254,2246,5658,21644,17657,-995,13.846421291,13.492817646,13.522672363,13.693626784,13.490891458,13.544427941,13.734733284,13.596736648,13.535307303,8.9596601465,8.9098832458,8.8279996052,8.8185988472,8.7632222607,8.5647966264,8.6308270671,8.5616436811,8.601771916,4.8867611441,4.5829344001,4.6946727578,4.8750279369,4.7276691972,4.9796313141,5.1039062172,5.0350929674,4.933535387,2.4973905796,2.2427414084,1.7714652327,1.884440829,1.8340849219,1.896647849,1.6591500665,1.6202343105,1.615513365,-2.636189494,-2.961933786,-2.651706788,-2.673582797,-3.266903833,-2.782229371,-2.904063804,-3.36559381,-2.917115221,-0.138798914,-0.719192377,-0.880241556,-0.789141968,-1.432818911,-0.885581522,-1.244913737,-1.7453595,-1.301601856
020,3,0,00,South,100236820,100235832,100559939,101868637,103185017,104431612,105874018,107411036,108930843,110573419,112021022,113317879,324107,1308698,1316380,1246595,1442406,1537018,1519807,1642576,1447603,1296857,354587,1485889,1476905,1489283,1519373,1538091,1569163,1634292,1627098,1613504,209054,901774,904830,905204,920074,917477,916475,918881,927952,949092,145533,584115,572075,584079,599299,620614,652688,715411,699146,664412,109244,400482,352857,245087,366196,337865,371414,310562,314778,310290,70356,281876,362928,388677,471697,578273,507831,512676,381085,318733,179600,682358,715785,633764,837893,916138,879245,823238,695863,629023,-1026,42225,28520,28752,5214,266,-12126,103927,52594,3422,14.680624933,14.405059078,14.346471255,14.449189972,14.422867155,14.506326812,14.890754149,14.61939474,14.320687576,8.9095523747,8.8252999383,8.7199566274,8.7498751222,8.6032938811,8.4724696322,8.372329463,8.3376026448,8.4236853538,5.7710725585,5.5797591395,5.6265146276,5.6993148495,5.819573274,6.0338571803,6.5184246855,6.2817920956,5.8970022224,3.9567733757,3.4416065563,2.36095732,3.4825125699,3.1682013687,3.4335839341,2.8296671524,2.8282647005,2.7539852074,2.7849427741,3.5398345059,3.7441798557,4.4858237984,5.4225365459,4.6947082308,4.6712168167,3.4240298032,2.8289212256,6.7417161498,6.9814410622,6.1051371757,7.9683363684,8.5907379145,8.1282921648,7.5008839692,6.2522945036,5.582906433
020,4,0,00,West,63197932,63198752,63450556,64467489,65376433,66211330,67069710,67937509,68870285,69767850,70698031,71568081,251804,1016933,908944,834897,858380,867799,932776,897565,930181,870050,240007,980364,977551,999147,1010976,1025276,1046575,1079682,1077046,1075661,105303,452129,460008,460223,470224,463259,474405,470341,476296,489023,134704,528235,517543,538924,540752,562017,572170,609341,600750,586638,102797,387872,348278,267158,311321,301583,311896,269712,266975,263923,13888,113634,58215,41355,32945,33275,51365,-7845,59505,21304,116685,501506,406493,308513,344266,334858,363261,261867,326480,285227,415,-12808,-15092,-12540,-26638,-29076,-2655,26357,2951,-1815,15.328001612,15.057323977,15.186016955,15.170589905,15.188461885,15.2999324,15.575541318,15.33533969,15.12181622,7.0690417447,7.0855530689,6.9949209487,7.0561274132,6.8627293182,6.9353504816,6.7851605188,6.7816610925,6.8747643852,8.2589598676,7.9717709082,8.1910960064,8.1144624922,8.3257325669,8.3645819185,8.7903807996,8.5536785976,8.2470518348,6.0643828633,5.3645637722,4.0605295494,4.67164722,4.4676573925,4.5596232624,3.8908774992,3.8012789739,3.7102721975,1.7766688038,0.896691953,0.6285538876,0.4943688915,0.4929366036,0.7509075104,-0.113172324,0.8472520099,0.2994950758,7.8410516671,6.2612557252,4.689083437,5.1660161115,4.9605939961,5.3105307728,3.7777051747,4.6485309838,4.0097672733
040,3,6,01,Alabama,4447100,4447382,4451849,4464034,4472420,4490591,4512190,4545049,4597688,4637904,4677464,4708708,4467,12185,8386,18171,21599,32859,52639,40216,39560,31244,15058,62358,59528,58572,59548,60076,61331,64283,63344,62265,10564,45163,45754,45883,46914,46548,47053,46513,46295,47157,4494,17195,13774,12689,12634,13528,14278,17770,17049,15108,1429,5776,5141,3642,6282,5766,6486,5492,5409,5319,-1489,-8828,-8583,4782,5023,16256,33752,16826,16927,11044,-60,-3052,-3442,8424,11305,22022,40238,22318,22336,16363,33,-1958,-1946,-2942,-2340,-2691,-1877,128,175,-227,13.988070503,13.322510248,13.069715077,13.228801189,13.265852872,13.416332549,13.920710226,13.599892135,13.267389517,10.130909075,10.239855764,10.2383005,10.4221129,10.278629061,10.292979006,10.072554093,9.9394892397,10.048185778,3.8571614275,3.0826544847,2.8314145771,2.8066882889,2.9872238107,3.1233535428,3.8481561334,3.6604028955,3.2192037393,1.2956652751,1.1505682231,0.8126733304,1.3955687693,1.2732356958,1.4188311443,1.1893119575,1.1613067782,1.1333693864,-1.980286193,-1.920896141,1.0670521324,1.1158774161,3.5896148926,7.3833470218,3.6437296061,3.6342096201,2.3532490135,-0.684620918,-0.770327918,1.8797254628,2.5114461854,4.8628505884,8.8021781661,4.8330415636,4.7955163983,3.4866183999
040,4,9,02,Alaska,626932,626931,627499,633316,642691,650884,661569,669488,677325,682297,688125,698473,568,5817,9375,8193,10685,7919,7837,4972,5828,10348,2434,9975,9853,9979,10300,10391,10662,11023,11363,11307,722,2988,3088,3094,3053,3163,3102,3385,3159,3140,1712,6987,6765,6885,7247,7228,7560,7638,8204,8167,537,1103,174,-1772,2334,1042,1797,874,1197,1022,-1672,-2904,1904,2530,615,-891,-2159,-3745,-3689,979,-1135,-1801,2078,758,2949,151,-362,-2871,-2492,2001,-9,631,532,550,489,540,639,205,116,180,15.823098551,15.443488946,15.428560385,15.695800154,15.61315556,15.832933006,16.214800878,16.583213054,16.308980685,4.7397913255,4.8400988396,4.7836422318,4.6523570749,4.7526139001,4.6064301429,4.979325136,4.6102587378,4.5290704299,11.083307226,10.603390107,10.644918153,11.043443079,10.86054166,11.226502863,11.235475743,11.972954316,11.779910255,1.749661925,0.2727257766,-2.739694258,3.5566987923,1.5656729952,2.6685219106,1.2856514531,1.7469071571,1.4741114584,-4.60654418,2.9843096472,3.9116402219,0.937176417,-1.338785642,-3.206087259,-5.508884087,-5.38374311,1.4120891563,-2.856882255,3.2570354238,1.1719459637,4.4938752092,0.2268873534,-0.537565349,-4.223232634,-3.636835953,2.8862006147
040,4,8,04,Arizona,5130632,5130607,5166697,5304417,5452108,5591206,5759425,5974834,6192100,6362241,6499377,6595778,36090,137720,147691,139098,168219,215409,217266,170141,137136,96401,19881,85464,86187,89485,92043,95080,98551,103318,101761,103956,9482,40694,42540,42444,43581,44278,46733,44913,47166,49657,10399,44770,43647,47041,48462,50802,51818,58405,54595,54299,8256,33284,31674,26714,29375,30416,31084,27579,27031,26997,17561,56938,70105,62986,90588,132164,133670,79763,55468,15111,25817,90222,101779,89700,119963,162580,164754,107342,82499,42108,-126,2728,2265,2357,-206,2027,694,4394,42,-6,16.323764597,16.025063857,16.206185933,16.218129195,16.205539694,16.199808432,16.459326698,15.823981089,15.877017111,7.7726209456,7.9096176507,7.6868229953,7.6790444514,7.5467909819,7.6819681935,7.1549753189,7.33438048,7.5840263059,8.551143651,8.1154462059,8.5193629376,8.5390847434,8.6587487118,8.5178402381,9.3043513793,8.4896006086,8.2929908046,6.3572987554,5.8892625639,4.838040465,5.1759236997,5.1841364674,5.1095863592,4.3935400512,4.203359173,4.1232043454,10.875251669,13.034878829,11.407083055,15.961755783,22.526177409,21.972667888,12.706839809,8.6253533576,2.3078764627,17.232550424,18.924141393,16.24512352,21.137679482,27.710313877,27.082254247,17.100379861,12.828712531,6.4310808081
040,3,7,05,Arkansas,2673400,2673386,2678288,2691068,2704732,2722291,2746161,2776221,2815097,2842194,2867764,2889450,4902,12780,13664,17559,23870,30060,38876,27097,25570,21686,9074,37335,37469,37388,37995,38977,39572,41782,41004,40539,6469,28421,27847,27763,28428,27975,27686,28065,27667,28003,2605,8914,9622,9625,9567,11002,11886,13717,13337,12536,1092,4555,4130,3154,4186,4002,4336,3719,3642,3662,1282,-304,366,5139,10876,15384,23168,8199,7037,5298,2374,4251,4496,8293,15062,19386,27504,11918,10679,8960,-77,-385,-454,-359,-759,-328,-514,1462,1554,190,13.906695701,13.888209348,13.778456439,13.896071503,14.116010084,14.154802141,14.771027334,14.362277271,14.082853269,10.586371997,10.321731717,10.231392054,10.397092267,10.131497604,9.9032106562,9.9217098785,9.6907893193,9.7279691184,3.3203237036,3.5664776307,3.547064385,3.4989792358,3.9845124803,4.2515914852,4.849317456,4.6714879514,4.3548841506,1.6966652984,1.5308202676,1.1623315398,1.5309634244,1.4493745634,1.5509759953,1.3147635503,1.2756661257,1.2721430887,-0.113235181,0.1356610697,1.893855987,3.9777253234,5.5715088163,8.2871337313,2.8985604594,2.4648167289,1.8404735346,1.5834301171,1.6664813373,3.0561875268,5.5086887477,7.0208833797,9.8381097265,4.2133240097,3.7404828547,3.1126166232
040,4,9,06,California,33871648,33871648,33994571,34485623,34876194,35251107,35558419,35795255,35979208,36226122,36580371,36961664,122923,491052,390571,374913,307312,236836,183953,246914,354249,381293,128833,530883,527307,538297,540560,548154,554494,566712,564288,558912,53766,233502,234544,234608,239870,231799,239797,234406,235933,241733,75067,297381,292763,303689,300690,316355,314697,332306,328355,317179,66733,254983,230640,182299,193722,191179,194309,169995,167173,165600,-19603,-45687,-119535,-96581,-159777,-248576,-313081,-265169,-142901,-98798,47130,209296,111105,85718,33945,-57397,-118772,-95174,24272,66802,726,-15625,-13297,-14494,-27323,-22122,-11972,9782,1622,-2688,15.50471659,15.204532488,15.351995366,15.268002218,15.36442258,15.451010759,15.697234539,15.501035052,15.19979696,6.8195484376,6.7629139531,6.6909177069,6.7750771273,6.497184714,6.6819587351,6.4927616839,6.4810977779,6.5740090004,8.6851681524,8.4416185349,8.6610776593,8.4929250903,8.8672378664,8.7690520234,9.2044728554,9.019937274,8.6257879592,7.4469123145,6.6503448144,5.1990878702,5.4716366835,5.3586308674,5.4144327071,4.7086551644,4.5922552539,4.5035468491,-1.334312809,-3.446709016,-2.754447943,-4.512867379,-6.9674338,-8.72402208,-7.344859445,-3.925501535,-2.686844333,6.1125995058,3.2036357986,2.444639927,0.9587693046,-1.608802933,-3.309589373,-2.63620428,0.6667537193,1.8167025158
040,4,8,08,Colorado,4301261,4302015,4328070,4433068,4504265,4548775,4599681,4660780,4753044,4842259,4935213,5024748,26055,104998,71197,44510,50906,61099,92264,89215,92954,89535,16412,66628,67403,68595,68543,69155,69730,71037,71067,72537,6568,28057,28887,28975,29139,29200,29432,29686,30568,31679,9844,38571,38516,39620,39404,39955,40298,41351,40499,40858,6143,21255,18208,12966,16307,14710,15640,13306,13248,13078,10087,45283,14636,-7588,-3249,8538,36888,34148,38488,35591,16230,66538,32844,5378,13058,23248,52528,47454,51736,48669,-19,-111,-163,-488,-1556,-2104,-562,410,719,8,15.209896249,15.083470651,15.154025609,14.984605052,14.935541546,14.814383613,14.806619447,14.536886426,14.565719685,6.4048757136,6.4643445645,6.4011646916,6.3702552649,6.3063815074,6.2529318585,6.1876107508,6.2527409948,6.3612698885,8.805020535,8.619126086,8.7528609174,8.6143497875,8.6291600386,8.5614517544,8.6190086962,8.2841454315,8.2044497965,4.8521093949,4.0745936176,2.8644521619,3.5649731496,3.1769476703,3.3227729773,2.7734402968,2.7099029279,2.6261147006,10.337241578,3.2752500103,-1.676342974,-0.71028379,1.843968675,7.8369852676,7.1176491248,7.8727916582,7.1468151331,15.189350972,7.3498436278,1.1881091876,2.8546893596,5.0209163453,11.159758245,9.8910894216,10.582694586,9.7729298338
040,1,1,09,Connecticut,3405565,3405607,3411726,3428433,3448382,3467673,3474610,3477416,3485162,3488633,3502932,3518288,6119,16707,19949,19291,6937,2806,7746,3471,14299,15356,10837,42858,42146,42706,42637,41911,41589,41889,40859,40899,6898,30431,29585,29892,29810,29698,29261,28729,28393,28729,3939,12427,12561,12814,12827,12213,12328,13160,12466,12170,3946,14606,13440,10955,11551,11533,12932,11260,11391,11322,-1952,-6926,-2802,-16,-14352,-17446,-15075,-20678,-9257,-7824,1994,7680,10638,10939,-2801,-5913,-2143,-9418,2134,3498,186,-3400,-3250,-4462,-3089,-3494,-2439,-271,-301,-312,12.53128765,12.257418587,12.349815032,12.283279146,12.057204619,11.946437081,12.013258204,11.688084141,11.650112089,8.8977463828,8.6042739262,8.6442343214,8.5879529832,8.5436964706,8.4052200205,8.239129484,8.122072812,8.183478085,3.6335412671,3.6531446607,3.7055807104,3.6953261629,3.5135081486,3.5412170607,3.7741287204,3.5660113294,3.4666340038,4.2706609598,3.9087862622,3.1679910006,3.3277237474,3.3178817225,3.7147160147,3.2292317167,3.2584979186,3.2250805416,-2.025099124,-0.814912136,-0.004626915,-4.134662906,-5.018968571,-4.330292601,-5.930200128,-2.648048041,-2.22867251,2.2455618356,3.0938741263,3.1633640855,-0.806939158,-1.701086849,-0.615576587,-2.700968411,0.6104498778,0.9964080317
040,3,5,10,Delaware,783600,783557,786411,794620,804131,814905,826639,839906,853022,864896,876211,885122,2854,8209,9511,10774,11734,13267,13116,11874,11315,8911,2700,10906,10829,11332,11292,11464,11836,11966,12104,11980,1624,7043,6891,6998,7109,7340,7188,7079,7333,7709,1076,3863,3938,4334,4183,4124,4648,4887,4771,4271,649,2305,2098,1522,2274,2157,2410,2035,2057,2016,1100,2838,4198,5798,6078,7815,6620,4993,4504,2580,1749,5143,6296,7320,8352,9972,9030,7028,6561,4596,29,-797,-723,-880,-801,-829,-562,-41,-17,44,13.796060925,13.54682499,13.998453401,13.757779261,13.75780432,13.982874641,13.930816255,13.903797986,13.603333384,8.9093762235,8.6204793617,8.6446502734,8.6613578436,8.8086430309,8.4917964615,8.2413712412,8.4233766219,8.7535974174,4.8866847013,4.9263456286,5.3538031273,5.0964214179,4.9491612888,5.4910781793,5.6894450143,5.4804213641,4.849735967,2.9158188549,2.6245487884,1.8801311398,2.7705623486,2.588588967,2.8471382126,2.3691468394,2.3628645454,2.2891753008,3.5900624339,5.2515995299,7.1622866941,7.4052233751,9.378684644,7.8207696961,5.8128502059,5.1737199379,2.9295993432,6.5058812889,7.8761483183,9.0424178338,10.175785724,11.967273611,10.667907909,8.1819970453,7.5365844833,5.218774644
040,3,5,11,District of Columbia,572059,572055,571744,578042,579585,577777,579796,582049,583978,586409,590074,599657,-311,6298,1543,-1808,2019,2253,1929,2431,3665,9583,1876,7618,7625,7480,7790,7913,8197,8842,8431,8214,1430,5919,5913,5678,5522,5468,5397,5149,5201,5234,446,1699,1712,1802,2268,2445,2800,3693,3230,2980,1067,3710,3176,2325,2627,2366,2508,2170,2134,2096,-1792,-4285,-7543,-10286,-7023,-6746,-3369,-3377,-1639,4454,-725,-575,-4367,-7961,-4396,-4380,-861,-1207,495,6550,-32,5174,4198,4351,4147,4188,-10,-55,-60,53,13.25116152,13.173500618,12.925947111,13.459194366,13.621438316,14.059708737,15.109532146,14.332548792,13.808163358,10.295828963,10.215725791,9.8119689432,9.540651,9.41261528,9.2570755223,8.7987990297,8.841606721,8.7986275889,2.9553325575,2.9577748273,3.1139781676,3.9185433662,4.2088230358,4.8026332152,6.3107331165,5.4909420706,5.009535769,6.4533748019,5.487086946,4.0177576247,4.5388066239,4.0728324346,4.3017871799,3.7081751592,3.6277617271,3.523485561,-7.453560924,-13.0318315,-17.77490535,-12.13400796,-11.6125645,-5.778596894,-5.770740789,-2.786270605,7.4874068172,-1.000186122,-7.544744551,-13.75714772,-7.595201339,-7.539732064,-1.476809714,-2.06256563,0.8414911223,11.010892378
